flight_id,platform,mass_kg,scenario,method,true_events,detected_events,precision,recall,mean_latency_s,mean_abs_latency_s,true_positives,false_positives,false_negatives
payload_detection/x500v2/0.5kg/3_scenario,x500v2,0.5,3,thresholded_derivative,1,1,0.0,0.0,,,0,1,1
payload_detection/x500v2/0.5kg/3_scenario,x500v2,0.5,3,ruptures_pelt,1,1,1.0,1.0,-2.974488000000065,2.974488000000065,1,0,0
payload_detection/x500v2/0.5kg/4_scenario,x500v2,0.5,4,thresholded_derivative,2,2,0.5,0.5,0.7525420000000622,0.7525420000000622,1,1,1
payload_detection/x500v2/0.5kg/4_scenario,x500v2,0.5,4,ruptures_pelt,2,2,1.0,1.0,1.0540409999999838,1.0540409999999838,2,0,0
payload_detection/x500v2/0.5kg/5_scenario,x500v2,0.5,5,thresholded_derivative,1,1,1.0,1.0,-1.945985999999948,1.945985999999948,1,0,0
payload_detection/x500v2/0.5kg/5_scenario,x500v2,0.5,5,ruptures_pelt,1,1,1.0,1.0,-1.945985999999948,1.945985999999948,1,0,0
payload_detection/x500v2/0.75kg/3_scenario,x500v2,0.75,3,thresholded_derivative,1,1,1.0,1.0,-1.7633520000001681,1.7633520000001681,1,0,0
payload_detection/x500v2/0.75kg/3_scenario,x500v2,0.75,3,ruptures_pelt,1,1,1.0,1.0,-1.9631480000000465,1.9631480000000465,1,0,0
payload_detection/x500v2/0.75kg/4_scenario,x500v2,0.75,4,thresholded_derivative,2,2,1.0,1.0,2.0379459999999767,2.0379459999999767,2,0,0
payload_detection/x500v2/0.75kg/4_scenario,x500v2,0.75,4,ruptures_pelt,2,2,1.0,1.0,2.0379389999999944,2.0379389999999944,2,0,0
payload_detection/x500v2/0.75kg/5_scenario,x500v2,0.75,5,thresholded_derivative,1,1,1.0,1.0,0.2135020000000054,0.2135020000000054,1,0,0
payload_detection/x500v2/0.75kg/5_scenario,x500v2,0.75,5,ruptures_pelt,1,1,1.0,1.0,0.013756000000000768,0.013756000000000768,1,0,0
payload_detection/x500v2/1kg/3_scenario,x500v2,1.0,3,thresholded_derivative,1,1,0.0,0.0,,,0,1,1
payload_detection/x500v2/1kg/3_scenario,x500v2,1.0,3,ruptures_pelt,1,1,0.0,0.0,,,0,1,1
payload_detection/x500v2/1kg/4_scenario,x500v2,1.0,4,thresholded_derivative,2,2,0.0,0.0,,,0,2,2
payload_detection/x500v2/1kg/4_scenario,x500v2,1.0,4,ruptures_pelt,2,2,0.5,0.5,-1.99244699999997,1.99244699999997,1,1,1
payload_detection/x500v2/1kg/5_scenario,x500v2,1.0,5,thresholded_derivative,1,1,1.0,1.0,-0.7719969999999989,0.7719969999999989,1,0,0
payload_detection/x500v2/1kg/5_scenario,x500v2,1.0,5,ruptures_pelt,1,1,1.0,1.0,-0.46993600000001834,0.46993600000001834,1,0,0
payload_detection/x650/0.5kg/3_scenario,x650,0.5,3,thresholded_derivative,1,1,0.0,0.0,,,0,1,1
payload_detection/x650/0.5kg/3_scenario,x650,0.5,3,ruptures_pelt,1,1,0.0,0.0,,,0,1,1
payload_detection/x650/0.5kg/4_scenario,x650,0.5,4,thresholded_derivative,2,2,0.5,0.5,0.8585430000000542,0.8585430000000542,1,1,1
payload_detection/x650/0.5kg/4_scenario,x650,0.5,4,ruptures_pelt,2,2,0.0,0.0,,,0,2,2
payload_detection/x650/0.5kg/5_scenario,x650,0.5,5,thresholded_derivative,1,1,0.0,0.0,,,0,1,1
payload_detection/x650/0.5kg/5_scenario,x650,0.5,5,ruptures_pelt,1,1,0.0,0.0,,,0,1,1
payload_detection/x650/1.5kg/3_scenario,x650,1.5,3,thresholded_derivative,1,1,0.0,0.0,,,0,1,1
payload_detection/x650/1.5kg/3_scenario,x650,1.5,3,ruptures_pelt,1,1,0.0,0.0,,,0,1,1
payload_detection/x650/1.5kg/4_scenario,x650,1.5,4,thresholded_derivative,2,2,0.0,0.0,,,0,2,2
